24	0	2
28	0	2
0	28	3
0	30	3
0	26	3
0	29	3
0	21	3
0	23	3
0	22	3
1	29	3
1	28	3
1	21	3
1	23	3
1	26	3
1	22	3
23	2	4
22	2	4
21	2	4
23	3	4
23	3	4
22	3	4
22	3	4
21	3	4
21	3	4
26	4	4
26	4	4
22	5	4
21	5	4
26	5	4
26	6	4
26	6	4
22	7	4
21	7	4
26	7	4
26	8	4
21	9	4
26	9	4
28	10	4
28	11	4
28	11	4
28	11	4
28	12	4
28	12	4
29	13	4
29	14	4
29	14	4
29	15	4
29	15	4
29	15	4
29	15	4
21	16	4
21	16	4
22	17	4
22	17	4
22	18	4
23	19	4
23	20	4
23	20	4
24	21	0
24	22	0
24	23	0
24	25	0
24	25	0
24	26	0
24	27	0
24	27	0
24	28	0
24	29	0
24	30	0
26	21	0
