size=50, nhead=8, dropout=0.4, neigh-por=0.6, lr=0.005, batch-size=256, epochs=300, attributed=True, supervised=True
21	0.6729525 -0.5908705 0.22672819 0.67681926 0.43595004 -0.5926485 0.5825221 0.6562896 0.5926651 -0.66239053 0.5926062 0.5926749 -0.58886325 -0.5926903 0.6690744 -0.5803781 0.59172803 0.6693947 -0.1638901 0.59271634 0.59312195 0.65871674 0.99946207 0.5901246 0.677685 -0.8773795 -0.6550434 0.64352924 0.6748624 -0.5925879 -0.5857451 -0.5764828 0.59267706 -0.6164369 0.5926016 -0.50642985 0.5675286 0.65308535 0.59263366 0.6763494 -0.67244804 0.21389681 0.24899922 -0.66655725 0.5737441 -0.5881614 -0.50379556 -0.19957128 -0.62412906 -0.5852634
22	0.36544427 -0.29377034 -0.017178841 0.38206849 0.34105903 -0.2952467 0.29318976 0.31656516 0.29410374 -0.31025362 0.29402035 0.2940964 -0.29392618 -0.29409602 0.32589638 -0.2933104 0.29403836 0.33756888 0.09905979 0.29410255 0.29436475 0.3032766 0.99854934 0.29398513 0.45358178 -0.773343 -0.71680206 0.31152856 0.36492833 -0.2939975 -0.2934 -0.23590979 0.29410124 -0.29456532 0.2940944 -0.19963346 0.25346553 0.3237044 0.29410475 0.3954541 -0.3878397 0.42730635 -0.01433339 -0.31354535 0.29374203 -0.2934298 -0.19822998 0.028122678 -0.29638457 -0.29237214
23	0.4049763 -0.32683027 -0.0017924085 0.42951003 0.36953455 -0.32901102 0.3194238 0.35780722 0.3287369 -0.38269985 0.32861933 0.32874167 -0.32654947 -0.328733 0.36615783 -0.31639874 0.3283887 0.38306537 0.07947692 0.32873657 0.32886928 0.3425951 0.99848884 0.32812524 0.4591766 -0.80254996 -0.718005 0.3394497 0.40598276 -0.32859403 -0.32302827 -0.28394783 0.3287604 -0.32956693 0.3286919 -0.24571206 0.28514534 0.36201763 0.3280143 0.44241744 -0.40982965 0.42123505 0.0013895929 -0.35661498 0.31653345 -0.3252192 -0.23816375 0.04079862 -0.33093408 -0.32372278
24	0.15770504 -0.15770209 -0.14996776 0.1577029 0.19901095 -0.1577571 0.15770173 0.15767407 0.15770179 -0.08260244 0.15525693 0.15769643 -0.15770066 -0.15767092 0.15770283 -0.15769958 0.1574601 0.15771332 0.22629479 0.15770212 0.15770224 0.15769053 0.99999666 0.15763149 0.28381884 -0.73686063 -0.8192677 0.15770319 0.15747076 -0.15725681 -0.15771195 -0.08526307 0.15770218 -0.15770176 0.15770218 -0.08104387 0.08429441 0.15530032 0.1577023 0.15770951 -0.15770689 0.4904465 -0.14997655 -0.15770319 0.15769553 -0.15390003 -0.08106229 0.15243125 -0.15767074 -0.15407848
25	0.47026888 -0.44433168 0.09338564 0.47942227 0.39814 -0.4444117 0.4443318 0.4566075 0.44433177 -0.42906183 0.44425327 0.44433144 -0.44433203 -0.44433093 0.45736262 -0.4443326 0.4443086 0.4645067 -0.040308088 0.44436222 0.44441462 0.48949906 0.99995357 0.4443255 0.68184114 -0.85082895 -0.7829356 0.4461547 0.48633295 -0.4442668 -0.44434077 -0.41386476 0.4443321 -0.44456112 0.44433278 -0.36718127 0.41972384 0.44865853 0.44434664 0.49662372 -0.47126704 0.29903734 0.095656514 -0.45187846 0.44447988 -0.44399506 -0.36753532 -0.093233585 -0.44460708 -0.44362795
26	0.6742899 -0.5919577 0.22710261 0.67698675 0.43640617 -0.59311515 0.5866144 0.661352 0.59307295 -0.66620296 0.5930325 0.59308344 -0.5906729 -0.5931117 0.6716395 -0.5845528 0.59247285 0.6710828 -0.20397297 0.59316504 0.5938478 0.6641241 0.9994415 0.5913614 0.67763644 -0.8772531 -0.65267885 0.64879364 0.6755055 -0.593031 -0.5883111 -0.5861144 0.5930837 -0.62334126 0.59303457 -0.5083928 0.5756417 0.65748894 0.5932475 0.6766037 -0.67364264 0.21192582 0.2512215 -0.66959125 0.5821383 -0.5899835 -0.50941885 -0.20626968 -0.6301949 -0.5881543
27	-0.9018762 0.9018762 -0.9196926 -0.9018735 0.61983496 0.7788905 -0.9018763 -0.90187687 -0.9018763 0.91089 -0.9018908 -0.90187633 0.9018763 0.9018767 -0.9018762 0.9018762 -0.90188044 -0.90187275 0.92948365 -0.9018762 -0.9018762 -0.90187633 1.0 -0.90187734 -0.6795868 -0.87989545 -0.9797103 -0.9018755 -0.90186936 0.9018882 0.9018763 0.9074972 -0.9018762 0.9018762 -0.9018762 0.9161081 -0.906416 -0.90189505 -0.9018762 -0.9018274 0.90187454 0.9525734 -0.919693 0.90187585 -0.9018763 0.9019383 0.9160439 0.91971743 0.9018765 0.90200514
28	0.51163423 -0.45564735 0.10195315 0.53064036 0.40909028 -0.4557069 0.4556477 0.48255026 0.45564744 -0.4755067 0.45556927 0.45564753 -0.4556493 -0.45564824 0.49418968 -0.4556489 0.45562416 0.50424963 -0.048458442 0.45567667 0.45575532 0.52601355 0.9998864 0.4556413 0.6794324 -0.85950947 -0.7456026 0.46634912 0.52478635 -0.45558208 -0.45565405 -0.42494178 0.45564824 -0.4575422 0.45564926 -0.37789255 0.430847 0.47495398 0.45567325 0.5364055 -0.51528305 0.27277356 0.10911015 -0.48810622 0.456194 -0.45530853 -0.3782494 -0.101798564 -0.45868993 -0.45493817
29	0.37291884 -0.30385348 0.0024480522 0.39393616 0.40661317 -0.30412504 0.30385393 0.34363967 0.30385497 -0.33107117 0.30377352 0.3038555 -0.3038584 -0.3038646 0.35436147 -0.30385542 0.30382818 0.3659617 0.056278393 0.30387533 0.30396104 0.38210884 0.9998342 0.30384743 0.5428251 -0.7927742 -0.7476778 0.31851864 0.3750878 -0.30378252 -0.3038698 -0.27015227 0.30385843 -0.3060649 0.3038559 -0.21851695 0.27663463 0.32582706 0.303906 0.39882335 -0.37907553 0.34641033 0.015705958 -0.3469302 0.30463016 -0.3034822 -0.21890604 -0.0022690296 -0.3084329 -0.30307704
30	-0.9020364 0.90203655 -0.91982377 -0.9020364 0.6174244 0.8027362 -0.90203655 -0.90203714 -0.90203655 0.91103566 -0.9020511 -0.9020366 0.90203655 0.90203696 -0.9020365 0.90203655 -0.9020408 -0.90203655 0.92959887 -0.9020365 -0.9020365 -0.9020366 1.0 -0.9020377 -0.77865094 -0.8785104 -0.9797435 -0.9020365 -0.902038 0.90204847 0.90203655 0.9076483 -0.9020365 0.90203655 -0.9020365 0.9162451 -0.9065689 -0.9020557 -0.9020365 -0.9020365 0.9020365 0.9526511 -0.91982424 0.9020365 -0.90203655 0.90209854 0.9161811 0.91984856 0.9020368 0.90216523
