24	0	2	1
28	0	2	1
0	28	3	1
0	30	3	1
0	26	3	1
0	29	3	1
0	21	3	1
0	23	3	1
0	22	3	1
1	29	3	1
1	28	3	1
1	21	3	1
1	23	3	1
1	26	3	1
1	22	3	1
23	2	4	1
22	2	4	1
21	2	4	1
23	3	4	1
23	3	4	1
22	3	4	1
22	3	4	1
21	3	4	1
21	3	4	1
26	4	4	1
26	4	4	1
22	5	4	1
21	5	4	1
26	5	4	1
26	6	4	1
26	6	4	1
22	7	4	1
21	7	4	1
26	7	4	1
26	8	4	1
21	9	4	1
26	9	4	1
28	10	4	1
28	11	4	1
28	11	4	1
28	11	4	1
28	12	4	1
28	12	4	1
29	13	4	1
29	14	4	1
29	14	4	1
29	15	4	1
29	15	4	1
29	15	4	1
29	15	4	1
21	16	4	1
21	16	4	1
22	17	4	1
22	17	4	1
22	18	4	1
23	19	4	1
23	20	4	1
23	20	4	1
24	21	0	1
24	22	0	1
24	23	0	1
24	25	0	1
24	25	0	1
24	26	0	1
24	27	0	1
24	27	0	1
24	28	0	1
24	29	0	1
24	30	0	1
26	21	0	1
